"Weekly","ISN","Mean","Median","Sd","Count"
1853-04-17,831,118.714285714286,116,22.0356853438106,7
1853-04-24,286,40.8571428571429,49,22.3116454751666,7
1853-05-01,334,47.7142857142857,49,17.604112073739,7
1853-05-08,335,47.8571428571429,48,13.3844259175677,7
1853-05-15,517,73.8571428571429,74,12.4556355575642,7
1853-05-22,652,93.1428571428571,93,26.897512719138,7
1853-05-29,435,62.1428571428571,68,11.1419413543088,7
1853-06-05,693,99,95,37.0135110466435,7
1853-06-12,853,121.857142857143,124,26.2134098724843,7
1853-06-19,412,58.8571428571429,30,41.4866587849981,7
1853-06-26,117,16.7142857142857,21,11.729084728632,7
1853-07-03,748,106.857142857143,99,29.689664708046,7
1853-07-10,882,126,131,16.532795690183,7
1853-07-17,499,71.2857142857143,61,16.8296789998531,7
1853-07-24,486,69.4285714285714,66,17.8592379723319,7
1853-07-31,572,81.7142857142857,84,22.0129831820094,7
1853-08-07,900,128.571428571429,127,24.3095121496171,7
1853-08-14,437,62.4285714285714,61,14.0813960346876,7
1853-08-21,761,108.714285714286,125,25.3424169178493,7
1853-08-28,703,100.428571428571,104,18.0449175010319,7
1853-09-04,510,72.8571428571429,70,15.6889405997619,7
1853-09-11,346,49.4285714285714,49,25.520300043019,7
1853-09-18,343,49,36,29.8831055949679,7
1853-09-25,440,62.8571428571429,66,7.44823405084658,7
1853-10-02,710,101.428571428571,97,26.0247135293689,7
1853-10-09,521,74.4285714285714,76,21.6860718961668,7
1853-10-16,584,83.4285714285714,87,10.9370493104424,7
1853-10-23,491,70.1428571428571,68,11.2757641489549,7
1853-10-30,398,56.8571428571429,59,5.42919795883245,7
1853-11-06,365,52.1428571428571,48,12.3885507819192,7
1853-11-13,402,57.4285714285714,53,13.5013226865265,7
1853-11-20,398,56.8571428571429,55,13.4465431918216,7
1853-11-27,279,39.8571428571429,32,15.2362350055011,7
1853-12-04,294,42,32,15.502687938978,7
1853-12-11,449,64.1428571428571,63,14.3344407102681,7
1853-12-18,257,36.7142857142857,27,13.0985277253372,7
1853-12-25,298,42.5714285714286,30,26.7946334356785,7
1854-01-01,303,43.2857142857143,40,11.4994823900076,7
1854-01-08,276,39.4285714285714,36,11.1333903619868,7
1854-01-15,197,28.1428571428571,28,3.80475892484537,7
1854-01-22,21,3,0,7.93725393319377,7
1854-01-29,345,49.2857142857143,51,21.1480045214222,7
1854-02-05,443,63.2857142857143,61,7.54352450150206,7
1854-02-12,317,45.2857142857143,42,11.7006308336244,7
1854-02-19,70,10,0,17.3205080756888,7
1854-02-26,46,6.57142857142857,0,11.2228508389081,7
1854-03-05,171,24.4285714285714,0,35.8555302236496,7
1854-03-12,486,69.4285714285714,65,8.65750431431489,7
1854-03-19,292,41.7142857142857,48,19.0150316479208,7
1854-03-26,254,36.2857142857143,28,25.164222524014,7
1854-04-02,525,75,72,27.0678160675491,7
1854-04-09,575,82.1428571428571,103,29.7961326988843,7
1854-04-16,262,37.4285714285714,34,15.393257645878,7
1854-04-23,96,13.7142857142857,0,17.8205339025358,7
1854-04-30,415,59.2857142857143,65,19.0762879487798,7
1854-05-07,613,87.5714285714286,89,12.2591074016714,7
1854-05-14,338,48.2857142857143,42,26.3800068594525,7
1854-05-21,71,10.1428571428571,0,12.7204372491485,7
1854-05-28,169,24.1428571428571,0,31.2646156297529,7
1854-06-04,278,39.7142857142857,32,24.5541190415124,7
1854-06-11,274,39.1428571428571,27,24.8356502594461,7
1854-06-18,241,34.4285714285714,44,11.9562695249137,7
1854-06-25,270,38.5714285714286,42,5.8554004376912,7
1854-07-02,358,51.1428571428571,55,22.7481030082992,7
1854-07-09,208,29.7142857142857,28,31.1058102059957,7
1854-07-16,212,30.2857142857143,32,24.1434206753054,7
1854-07-23,241,34.4285714285714,28,13.9147061635899,7
1854-07-30,215,30.7142857142857,30,5.99205823609567,7
1854-08-06,249,35.5714285714286,36,9.81252843489966,7
1854-08-13,158,22.5714285714286,21,3.35942171894424,7
1854-08-20,111,15.8571428571429,0,21.3418881656753,7
1854-08-27,333,47.5714285714286,46,8.16204922914874,7
1854-09-03,304,43.4285714285714,32,20.6386138331134,7
1854-09-10,600,85.7142857142857,91,21.2580516958813,7
1854-09-17,23,3.28571428571429,0,8.69318287921223,7
1854-09-24,267,38.1428571428571,44,11.3347338070283,7
1854-10-01,525,75,74,19.882991056009,7
1854-10-08,66,9.42857142857143,0,24.945655218609,7
1854-10-15,63,9,0,11.2249721603218,7
1854-10-22,25,3.57142857142857,0,9.44911182523068,7
1854-10-29,177,25.2857142857143,25,3.68394198806504,7
1854-11-05,191,27.2857142857143,30,3.81725406168211,7
1854-11-12,337,48.1428571428571,46,11.5531896234845,7
1854-11-19,673,96.1428571428571,95,23.0754456181498,7
1854-11-26,378,54,57,12.7410099024109,7
1854-12-03,222,31.7142857142857,38,23.8936134124741,7
1854-12-10,339,48.4285714285714,48,7.67804538618918,7
1854-12-17,348,49.7142857142857,48,20.5727512802273,7
1854-12-24,253,36.1428571428571,40,38.2684751522214,7
1854-12-31,28,4,0,10.5830052442584,7
1855-01-07,302,43.1428571428571,46,34.3483554746006,7
1855-01-14,332,47.4285714285714,40,13.5506105994914,7
1855-01-21,91,13,0,23.9374184071716,7
1855-01-28,27,3.85714285714286,0,10.2050407712491,7
1855-02-04,99,14.1428571428571,21,13.6067210283322,7
1855-02-11,235,33.5714285714286,30,8.86673827396792,7
1855-02-18,81,11.5714285714286,0,14.4321070632709,7
1855-02-25,292,41.7142857142857,32,19.1024805170627,7
1855-03-04,382,54.5714285714286,55,19.9152968247789,7
1855-03-11,181,25.8571428571429,27,3.48466026218585,7
1855-03-18,42,6,0,15.8745078663875,7
1855-03-25,290,41.4285714285714,40,15.3063945554044,7
1855-04-01,164,23.4285714285714,25,12.0118988626159,7
1855-04-08,0,0,0,0,7
1855-04-15,0,0,0,0,7
1855-04-22,87,12.4285714285714,0,16.1023512036508,7
1855-04-29,294,42,53,43.0929228528305,7
1855-05-06,122,17.4285714285714,0,23.6773952878911,7
1855-05-13,95,13.5714285714286,21,12.9210054156935,7
1855-05-20,25,3.57142857142857,0,9.44911182523068,7
1855-05-27,0,0,0,0,7
1855-06-03,55,7.85714285714286,0,13.6678280575051,7
1855-06-10,218,31.1428571428571,34,15.2690162467284,7
1855-06-17,27,3.85714285714286,0,10.2050407712491,7
1855-06-24,0,0,0,0,7
1855-07-01,0,0,0,0,7
1855-07-08,21,3,0,7.93725393319377,7
1855-07-15,0,0,0,0,7
1855-07-22,0,0,0,0,7
1855-07-29,34,4.85714285714286,0,12.8507920823137,7
1855-08-05,129,18.4285714285714,27,17.7562866130763,7
1855-08-12,21,3,0,7.93725393319377,7
1855-08-19,0,0,0,0,7
1855-08-26,0,0,0,0,7
1855-09-02,0,0,0,0,7
1855-09-09,0,0,0,0,7
1855-09-16,0,0,0,0,7
1855-09-23,0,0,0,0,7
1855-09-30,137,19.5714285714286,25,20.4357296815907,7
1855-10-07,70,10,0,12.6885775404495,7
1855-10-14,102,14.5714285714286,21,14.164005352267,7
1855-10-21,175,25,25,3.51188458428425,7
1855-10-28,130,18.5714285714286,21,8.32380407540412,7
1855-11-04,0,0,0,0,7
1855-11-11,53,7.57142857142857,0,13.3148681662912,7
1855-11-18,67,9.57142857142857,0,12.0118988626159,7
1855-11-25,104,14.8571428571429,0,18.5780208080101,7
1855-12-02,127,18.1428571428571,0,24.1138174181566,7
1855-12-09,21,3,0,7.93725393319377,7
1855-12-16,0,0,0,0,7
1855-12-23,0,0,0,0,7
1855-12-30,0,0,0,0,7
1856-01-06,0,0,0,0,7
1856-01-13,30,4.28571428571429,0,11.3389341902768,7
1856-01-20,0,0,0,0,7
1856-01-27,0,0,0,0,7
1856-02-03,84,12,0,15,7
1856-02-10,51,7.28571428571429,0,12.526163095887,7
1856-02-17,107,15.2857142857143,23,14.4073393994668,7
1856-02-24,28,4,0,10.5830052442584,7
1856-03-02,0,0,0,0,7
1856-03-09,0,0,0,0,7
1856-03-16,23,3.28571428571429,0,8.69318287921223,7
1856-03-23,0,0,0,0,7
1856-03-30,0,0,0,0,7
1856-04-06,94,13.4285714285714,23,12.5811650607451,7
1856-04-13,203,29,30,3.95811402901264,7
1856-04-20,74,10.5714285714286,0,19.7809432102141,7
1856-04-27,0,0,0,0,7
1856-05-04,0,0,0,0,7
1856-05-11,0,0,0,0,7
1856-05-18,0,0,0,0,7
1856-05-25,0,0,0,0,7
1856-06-01,196,28,25,22.464787260659,7
1856-06-08,98,14,0,18.0739222823013,7
1856-06-15,0,0,0,0,7
1856-06-22,0,0,0,0,7
1856-06-29,44,6.28571428571429,0,10.750415274371,7
1856-07-06,0,0,0,0,7
1856-07-13,0,0,0,0,7
1856-07-20,101,14.4285714285714,21,13.6730530955007,7
1856-07-27,149,21.2857142857143,25,9.6732325812744,7
1856-08-03,0,0,0,0,7
1856-08-10,21,3,0,7.93725393319377,7
1856-08-17,181,25.8571428571429,21,10.3187300805957,7
1856-08-24,128,18.2857142857143,21,15.0522898115678,7
1856-08-31,159,22.7142857142857,28,15.9029796549188,7
1856-09-07,48,6.85714285714286,0,11.8381948430855,7
1856-09-14,46,6.57142857142857,0,11.2820970695042,7
1856-09-21,0,0,0,0,7
1856-09-28,0,0,0,0,7
1856-10-05,25,3.57142857142857,0,9.44911182523068,7
1856-10-12,131,18.7142857142857,23,19.6104928181683,7
1856-10-19,0,0,0,0,7
1856-10-26,143,20.4285714285714,28,14.489733639801,7
1856-11-02,63,9,0,16.5227116418583,7
1856-11-09,23,3.28571428571429,0,8.69318287921223,7
1856-11-16,110,15.7142857142857,21,15.173598625181,7
1856-11-23,191,27.2857142857143,27,15.4241616272899,7
1856-11-30,42,6,0,10.2469507659596,7
1856-12-07,0,0,0,0,7
1856-12-14,100,14.2857142857143,25,13.3630620956212,7
1856-12-21,259,37,32,12.7540843131393,7
1856-12-28,137,19.5714285714286,25,13.9147061635899,7
1857-01-04,193,27.5714285714286,25,6.62965918825251,7
1857-01-11,269,38.4285714285714,28,20.0653693616402,7
1857-01-18,170,24.2857142857143,25,13.5118995175152,7
1857-01-25,84,12,21,11.2249721603218,7
1857-02-01,100,14.2857142857143,23,13.4624698788185,7
1857-02-08,173,24.7142857142857,25,1.79947082168487,7
1857-02-15,125,17.8571428571429,0,23.1115308264697,7
1857-02-22,0,0,0,0,7
1857-03-01,52,7.42857142857143,0,12.6998312699703,7
1857-03-08,90,12.8571428571429,21,12.1027348345814,7
1857-03-15,92,13.1428571428571,21,12.4019967670341,7
1857-03-22,21,3,0,7.93725393319377,7
1857-03-29,196,28,28,13.6014705087354,7
1857-04-05,254,36.2857142857143,36,6.8729975438738,7
1857-04-12,169,24.1428571428571,0,30.2513281880789,7
