Date,Open,High,Low,Close,Adj Close,Volume
2015-02-09,17867.859375,18037.410156,17759.650391,18019.349609,18019.349609,292280000
2015-02-16,18019.800781,18144.289063,17878.369141,18140.439453,18140.439453,364370000
2015-02-23,18140.759766,18244.380859,18054.839844,18132.699219,18132.699219,426070000
2015-03-02,18134.050781,18288.630859,17825.150391,17856.779297,17856.779297,443710000
2015-03-09,17856.560547,18031.039063,17620.490234,17749.310547,17749.310547,533560000
2015-03-16,17751.240234,18197.289063,17697.519531,18127.650391,18127.650391,756960000
2015-03-23,18136.730469,18205.929688,17579.269531,17712.660156,17712.660156,512740000
2015-03-30,17727.480469,18008.640625,17585.009766,17763.240234,17763.240234,414240000
2015-04-06,17755.500000,18066.759766,17646.800781,18057.650391,18057.650391,452970000
2015-04-13,18052.320313,18169.259766,17748.529297,17826.300781,17826.300781,544910000
2015-04-20,17841.179688,18133.029297,17841.179688,18080.140625,18080.140625,508970000
2015-04-27,18097.890625,18175.560547,17774.890625,18024.060547,18024.060547,569000000
2015-05-04,18026.019531,18205.230469,17733.119141,18191.109375,18191.109375,457660000
2015-05-11,18187.779297,18272.720703,17924.800781,18272.560547,18272.560547,460300000
2015-05-18,18267.250000,18351.359375,18217.140625,18232.019531,18232.019531,409630000
2015-05-25,18229.750000,18229.750000,17967.740234,18010.679688,18010.679688,413160000
2015-06-01,18017.820313,18168.089844,17822.900391,17849.460938,17849.460938,418920000
2015-06-08,17849.460938,18109.769531,17714.970703,17898.839844,17898.839844,447080000
2015-06-15,17890.759766,18174.730469,17698.419922,18015.949219,18015.949219,614600000
2015-06-22,18027.630859,18188.810547,17890.359375,17946.679688,17946.679688,495840000
2015-06-29,17936.740234,17936.740234,17576.500000,17730.109375,17730.109375,412890000
2015-07-06,17728.080078,17797.490234,17465.679688,17760.410156,17760.410156,452120000
2015-07-13,17787.269531,18131.609375,17787.269531,18086.449219,18086.449219,435120000
2015-07-20,18085.910156,18137.119141,17553.730469,17568.529297,17568.529297,479670000
2015-07-27,17561.779297,17783.589844,17399.169922,17689.859375,17689.859375,497220000
2015-08-03,17696.740234,17704.759766,17279.080078,17373.380859,17373.380859,467360000
2015-08-10,17375.179688,17629.130859,17125.810547,17477.400391,17477.400391,486510000
2015-08-17,17472.660156,17568.400391,16459.550781,16459.750000,16459.750000,611700000
2015-08-24,16459.750000,16669.970703,15370.330078,16643.009766,16643.009766,1019330000
2015-08-31,16632.019531,16632.019531,15979.950195,16102.379883,16102.379883,683310000
2015-09-07,16109.929688,16664.650391,16109.929688,16433.089844,16433.089844,469980000
2015-09-14,16450.859375,16933.429688,16330.870117,16384.580078,16384.580078,756620000
2015-09-21,16406.099609,16578.599609,16016.360352,16314.669922,16314.669922,548780000
2015-09-28,16313.259766,16472.769531,15942.370117,16472.369141,16472.369141,655120000
2015-10-05,16502.099609,17110.880859,16502.099609,17084.490234,17084.490234,567820000
2015-10-12,17082.289063,17220.019531,16887.669922,17215.970703,17215.970703,560850000
2015-10-19,17209.429688,17679.369141,17129.189453,17646.699219,17646.699219,642710000
2015-10-26,17649.570313,17799.960938,17540.570313,17663.539063,17663.539063,585800000
2015-11-02,17672.619141,17977.849609,17655.019531,17910.330078,17910.330078,499380000
2015-11-09,17900.779297,17900.779297,17238.890625,17245.240234,17245.240234,573380000
2015-11-16,17229.939453,17914.339844,17210.429688,17823.810547,17823.810547,679360000
2015-11-23,17823.609375,17868.179688,17683.509766,17813.390625,17813.390625,426930000
2015-11-30,17802.839844,17901.580078,17425.560547,17847.630859,17847.630859,626940000
2015-12-07,17845.490234,17845.490234,17230.500000,17265.210938,17265.210938,577230000
2015-12-14,17277.109375,17796.759766,17124.310547,17128.550781,17128.550781,850100000
2015-12-21,17154.939453,17607.919922,17116.730469,17552.169922,17552.169922,339650000
2015-12-28,17535.660156,17750.019531,17421.160156,17425.029297,17425.029297,283080000
2016-01-04,17405.480469,17405.480469,16314.570313,16346.450195,16346.450195,692150000
2016-01-11,16358.709961,16593.509766,15842.110352,15988.080078,15988.080078,796840000
2016-01-18,16009.450195,16171.959961,15450.559570,16093.509766,16093.509766,627220000
2016-01-25,16086.459961,16466.300781,15863.719727,16466.300781,16466.300781,727870000
2016-02-01,16453.630859,16510.980469,15960.450195,16204.969727,16204.969727,653030000
2016-02-08,16147.509766,16201.889648,15503.009766,15973.839844,15973.839844,720530000
