year,month,day,R,Vis
1923,1,13,23.2560000009835,0.6
1923,1,18,19.1999999955297,0.9
1923,1,18,21.5999999977648,1
1923,1,19,19.1999999955297,0.9
1923,1,21,0.335999999195337,0.7
1923,1,21,23.7600000053644,0.6
1923,1,25,0.335999999195337,0.7
1923,1,26,19.1999999955297,0.8
1923,2,4,19.992000002414,0.6
1923,2,6,19.1999999955297,0.7
1923,2,13,19.1999999955297,0.7
1923,2,14,19.1999999955297,0.7
1923,2,15,19.1999999955297,0.8
1923,2,21,19.1999999955297,0.8
1923,2,22,19.1999999955297,0.8
1923,2,28,19.5599999986589,1
1923,3,5,19.2480000033975,0.8
1923,3,6,19.1999999955297,0.9
1923,3,10,18.3839999958873,0.9
1923,3,11,19.1999999955297,0.9
1923,3,11,21.6719999983907,0.7
1923,3,13,18.5040000043809,0.9
1923,3,17,19.0560000054538,0.9
1923,3,17,19.487999998033,0.7
1923,3,18,19.6079999953508,0.9
1923,3,18,20.4239999949932,0.7
1923,3,19,18.9120000042021,0.8
1923,3,19,19.1999999955297,0.9
1923,3,21,19.9439999945462,0.8
1923,3,24,18.9600000008941,0.8
1923,3,25,19.3439999967813,0.8
1923,4,2,19.2960000000894,0.8
1923,4,3,19.2960000000894,0.7
1923,4,4,19.6079999953508,0.9
1923,4,5,19.3439999967813,0.9
1923,4,11,20.2080000042915,0.8
1924,4,22,20.7600000053644,0.7
1924,9,8,1.24800000339746,0.4
1924,9,19,21.5999999977648,0.7
1924,9,23,1.99200000241399,0.4
1924,10,7,1.24800000339746,0.3
1924,10,10,3.96000000089407,0.4
1924,10,11,4.29600000008941,0.3
1924,10,13,1.34399999678135,0.2
1924,10,20,3.81599999964237,0.4
1924,10,24,0.239999994635582,0.2
1924,11,2,3.33599999919534,0.3
1924,11,4,0,0.1
1924,11,4,22.992000002414,0.1
1924,11,5,23.8319999948144,0.3
1924,11,6,3.96000000089407,0.2
1924,11,7,0.504000004380941,0.1
1924,11,11,1.00799999758601,0.1
1924,11,15,0.072000000625849,0.2
1924,11,16,0.504000004380941,0.1
1924,11,19,23.5920000001788,0.2
1924,12,4,21.5999999977648,0.8
1924,12,9,1.34399999678135,0.2
1924,12,15,1.48799999803305,0.2
1925,12,28,23.8319999948144,0.2
1925,12,31,21.5999999977648,0.7
1925,1,7,0,0.3
1925,1,27,23.2560000009835,0.3
1925,1,29,21.5999999977648,0.6
1925,2,2,19.1999999955297,0.7
1925,2,8,19.1999999955297,0.7
1925,3,1,19.992000002414,0.3
1925,3,10,22.6560000032187,0.4
1925,3,16,19.007999997586,0.4
1925,4,16,20.4959999956191,0.3
1925,9,28,0.743999999016523,0.4
1925,10,7,0.912000004202127,0.5
1925,10,29,4.80000000447035,0.7
1925,11,5,22.992000002414,0.4
1925,11,7,0.504000004380941,0.5
1925,11,20,0.504000004380941,0.4
1925,11,20,23.3280000016093,0.4
1925,11,28,0,0.5
1925,12,1,0.743999999016523,0.3
1925,12,6,0.504000004380941,0.4
1925,12,26,20.7600000053644,0.3
1925,12,28,0,0.1
1925,12,28,20.4959999956191,0.1
1925,12,29,1.82399999722838,0.7
1925,1,16,0.840000003576279,0.4
1925,1,18,0.57600000500679,0.5
1925,1,22,23.7600000053644,0.4
1925,1,24,23.4959999956191,0.5
1925,1,25,17.8080000020564,0.4
1925,1,25,17.9279999993742,0.4
1925,1,29,0.239999994635582,0.5
1925,1,30,0.335999999195337,0.4
1925,1,31,1.48799999803305,0.5
1925,2,1,0.743999999016523,0.5
1925,2,8,21.6719999983907,0.5
1925,2,8,23.4959999956191,0.4
1925,2,14,19.992000002414,0.4
1925,2,14,20.6640000008047,0.6
1926,2,18,23.4959999956191,0.5
1926,2,19,23.4959999956191,0.5
1926,2,22,23.1599999964237,0.7
1926,3,2,22.6560000032187,0.5
1926,3,7,21,0.5
1926,3,8,23.0879999957979,0.5
1926,3,12,21,0.6
1926,3,20,19.992000002414,0.6
1926,3,24,20.3280000016093,0.5
1926,3,26,19.7519999966025,0.5
1926,10,22,1.00799999758601,0.6
1926,10,27,0,0.6
1926,11,9,22.992000002414,0.5
1926,11,13,0.168000005185604,0.4
1926,11,15,22.992000002414,0.5
1926,11,15,23.7600000053644,0.5
1926,11,16,23.2560000009835,0.5
1926,11,27,23.7600000053644,0.6
1926,12,5,21.7439999990165,0.6
1927,12,9,0,0.6
1927,12,10,22.992000002414,0.4
1927,12,12,1.80000000447035,0.6
1927,12,12,21,0.5
1927,12,12,23.4959999956191,0.6
1927,12,14,1.00799999758601,0.7
1927,1,3,21.7439999990165,0.6
1927,1,10,22.487999998033,0.5
1927,1,12,19.007999997586,0.6
1927,1,12,23.4959999956191,0.6
1927,2,15,19.6560000032187,0.6
1927,2,15,23.8319999948144,0.6
1927,2,16,23.4239999949932,0.7
1927,3,9,22.3439999967813,0.5
1927,3,10,19.1279999949038,0.5
1927,3,10,19.3439999967813,0.3
1927,10,2,3,0.6
1927,10,10,3.33599999919534,0.5
1927,10,17,3.74399999901652,0.4
1927,10,19,3.23999999463558,0.5
1927,10,30,1.99200000241399,0.5
1927,10,31,1.00799999758601,0.4
1927,11,6,1.00799999758601,0.4
1927,11,13,2.25600000098348,0.6
1927,11,15,1.48799999803305,0.6
1927,1,26,23.4959999956191,0.8
1927,1,30,22.487999998033,0.9
1927,2,20,22.6560000032187,0.9
1927,2,23,23.7600000053644,0.9
1927,3,17,19.4400000013411,1.2
1928,3,19,19.4400000013411,1.3
1928,3,22,18.9600000008941,1.2
1928,3,30,20.4959999956191,0.8
1928,9,25,1.48799999803305,0.8
1928,10,3,0.504000004380941,0.6
1928,10,4,1.48799999803305,0.7
1928,10,5,0.840000003576279,0.7
1928,10,10,0.57600000500679,0.7
1928,10,18,0.239999994635582,0.7
1928,10,18,2.66400000080466,0.7
1928,10,20,1.00799999758601,0.7
1928,10,24,2.76000000536442,0.8
1928,10,27,0,0.8
1928,10,28,0.239999994635582,0.7
